"id","node","node_status","serial_number","dev_eui","latitude","longitude"
71,"F16D124","ONLINE","2008DFA006661","3dccb4ca18c6f2fa","35.08152","-106.648536"
369,"DVT0073","ONLINE","2008DFA006494","a6711c6a8768080d","35.081647","-106.653522"
67,"F16D258","ONLINE","2008DFA003549","6892d4c827f5bc65","35.088657","-106.653199"
626,"F16D271-5G","ONLINE","2006DFA004425","64a0445c136d0b2d","35.087052","-106.652438"
237,"F17B383","ONLINE","2008DFA006188","3f5afc2926d425f4","35.080624","-106.653032"
312,"F17B379","ONLINE","2008DFA006804","19fac44a7a04ddcd","35.0804","-106.651344"
99,"F16C772","ONLINE","2008DFA006674","3f35e4017e5d6e15","35.08216","-106.656328"
73,"F17B380","ONLINE","2008DFA006500","dc4654ad21fd409f","35.080572","-106.651768"
370,"F16D128","ONLINE","2008DFA006660","a6368c7156ffaab8","35.08244","-106.648424"
82,"F17B1312","ONLINE","2008DFA006279","6de2a052c7b25941","35.080464","-106.651879"
128,"E17A986","ONLINE","2008DFA003747","687c8c3c558affc0","35.0714","-106.712672"
126,"E17A823","ONLINE","2008DFA003749","63e020dac35a7f69","35.07906","-106.710776"
209,"F17B1334","ONLINE","2008DFA006787","a79070c5e6d8bc8e","35.080668","-106.65256"
542,"E17A1005","ONLINE","2010DFA006013","6a66c4b8073e11ea","35.076832","-106.712088"
604,"F17A613","ONLINE","2008DFA006961","dcac0414d661ce87","35.080988","-106.654896"
131,"E17A1054","ONLINE","2008DFA003742","63db98a438737fe9","35.078368","-106.71092"
571,"E17A1008","ONLINE","2010DFA006038","6ad264befbc7e963","35.075168","-106.7134"
433,"E17A1009","ONLINE","2008DFA003678","7b8878773b61b197","35.07458","-106.71344"
409,"E17A985","ONLINE","2008DFA003736","63db6825784a4b38","35.071788","-106.71236"
503,"E17A1010","ONLINE","2010DFA006024","6b68c0018e22b09d","35.07384","-106.713208"
606,"E17A919","ONLINE","2010DFA006056","6b13708558f5bb60","35.072652","-106.708528"
624,"F17A736","ONLINE","2008DFA006737","a78ea8e18a1207d6","35.080926","-106.655349"
69,"F16D134","ONLINE","2008DFA006657","3ecfb0a4153501d7","35.081905","-106.649565"
492,"F17A739","ONLINE","2008DFA006976","dae11492c080c554","35.080717","-106.653797"
100,"F16D136","ONLINE","2008DFA006619","dcb9f4024b9e2c12","35.081326","-106.651152"
